,Ticker,Name,Sector,Weight (%),CapitalExpenditure_2024Q2,CapitalExpenditure_2024Q3,CapitalExpenditure_2024Q4,CapitalExpenditure_2025Q1,CashAndSTInvestments_2024Q2,CashAndSTInvestments_2024Q3,CashAndSTInvestments_2024Q4,CashAndSTInvestments_2025Q1,CashFromOps_2024Q2,CashFromOps_2024Q3,CashFromOps_2024Q4,CashFromOps_2025Q1,CostOfRevenue_2024Q2,CostOfRevenue_2024Q3,CostOfRevenue_2024Q4,CostOfRevenue_2025Q1,CurrentAssets_2024Q2,CurrentAssets_2024Q3,CurrentAssets_2024Q4,CurrentAssets_2025Q1,CurrentLiabilities_2024Q2,CurrentLiabilities_2024Q3,CurrentLiabilities_2024Q4,CurrentLiabilities_2025Q1,EPS_2024Q2,EPS_2024Q3,EPS_2024Q4,EPS_2025Q1,Exchange,IncomeTaxExpense_2024Q2,IncomeTaxExpense_2024Q3,IncomeTaxExpense_2024Q4,IncomeTaxExpense_2025Q1,InterestExpense_2024Q2,InterestExpense_2024Q3,InterestExpense_2024Q4,InterestExpense_2025Q1,Location,LongTermDebt_2024Q2,LongTermDebt_2024Q3,LongTermDebt_2024Q4,LongTermDebt_2025Q1,Market Value,NetIncome_2024Q2,NetIncome_2024Q3,NetIncome_2024Q4,NetIncome_2025Q1,Notional Value,OperatingIncome_2024Q2,OperatingIncome_2024Q3,OperatingIncome_2024Q4,OperatingIncome_2025Q1,OtherOperatingExpense_2024Q2,OtherOperatingExpense_2024Q3,OtherOperatingExpense_2024Q4,OtherOperatingExpense_2025Q1,Price,Quantity,Revenue_2024Q2,Revenue_2024Q3,Revenue_2024Q4,Revenue_2025Q1,TotalAssets_2024Q2,TotalAssets_2024Q3,TotalAssets_2024Q4,TotalAssets_2025Q1,TotalDebt_2024Q2,TotalDebt_2024Q3,TotalDebt_2024Q4,TotalDebt_2025Q1,TotalEquity_2024Q2,TotalEquity_2024Q3,TotalEquity_2024Q4,TotalEquity_2025Q1,TotalLiabilities_2024Q2,TotalLiabilities_2024Q3,TotalLiabilities_2024Q4,TotalLiabilities_2025Q1,GDP_2024Q1,GDP_2024Q2,GDP_2024Q3,GDP_2024Q4,GDP_2025Q1,GDPReal_2024Q1,GDPReal_2024Q2,GDPReal_2024Q3,GDPReal_2024Q4,GDPReal_2025Q1,Unemployment_2024Q1,Unemployment_2024Q2,Unemployment_2024Q3,Unemployment_2024Q4,Unemployment_2025Q1,InterestRate_2024Q1,InterestRate_2024Q2,InterestRate_2024Q3,InterestRate_2024Q4,InterestRate_2025Q1,IndustrialProd_2024Q1,IndustrialProd_2024Q2,IndustrialProd_2024Q3,IndustrialProd_2024Q4,IndustrialProd_2025Q1,Inflation_2024Q1,Inflation_2024Q2,Inflation_2024Q3,Inflation_2024Q4,Inflation_2025Q1,Market Cap
1564,NSSC,NAPCO SECURITY TECHNOLOGIES INC,Information Technology,0.0,-551000.0,-680000.0,-1134000.0,-65000.0,65341000.0,85596000.0,86019000.0,73413000.0,14336000.0,12025000.0,13499000.0,13379000.0,22485000.0,19387000.0,18444000.0,18834000.0,168763000.0,171429000.0,164732000.0,152383000.0,22229000.0,24686000.0,21817000.0,22612000.0,,0.3,0.28,0.28,NASDAQ,1192000.0,1815000.0,1625000.0,1886000.0,762000.0,1144000.0,921000.0,862000.0,1,5512000.0,5460000.0,5417000.0,5376000.0,398073.5,13534000.0,11185000.0,10467000.0,10122000.0,"398,073.50",13964000.0,11856000.0,11171000.0,11146000.0,13881000.0,12760000.0,13318000.0,13981000.0,39.25,"10,142.00",50330000.0,44003000.0,42933000.0,43961000.0,207752000.0,209891000.0,202684000.0,190863000.0,5512000.0,5460000.0,5417000.0,5376000.0,178889000.0,178609000.0,174227000.0,161548000.0,28863000.0,31282000.0,28457000.0,29315000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
652,ALGN,ALIGN TECHNOLOGY INC,Health Care,0.01,-53450000.0,-29800000.0,-22961000.0,-25289000.0,761429000.0,1041935000.0,1043887000.0,873012000.0,159827000.0,263662000.0,286078000.0,52676000.0,305862000.0,296098000.0,298278000.0,299154000.0,2412372000.0,2597387000.0,2492441000.0,2402029000.0,2040117000.0,2063613000.0,2038027000.0,1990948000.0,1.28,1.55,1.39,1.27,NASDAQ,47302000.0,49967000.0,36970000.0,47212000.0,3301000.0,4003000.0,8522000.0,5316000.0,1,98301000.0,96435000.0,88214000.0,86487000.0,2445882.6,96564000.0,115963000.0,103807000.0,93230000.0,"2,445,882.60",178173000.0,162364000.0,177092000.0,135278000.0,544455000.0,519410000.0,519849000.0,544830000.0,134.7,"18,158.00",1028490000.0,977872000.0,995219000.0,979262000.0,6158324000.0,6365974000.0,6214600000.0,6102820000.0,129091000.0,127603000.0,119277000.0,118535000.0,3757908000.0,3944354000.0,3851985000.0,3794243000.0,2400416000.0,2421620000.0,2362615000.0,2308577000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Mid-Cap
922,UBSI,UNITED BANKSHARES INC,Financials,0.01,-2973000.0,-1585000.0,-2798000.0,-3895000.0,1857653000.0,1907579000.0,2290976000.0,2608884000.0,61185000.0,123618000.0,136280000.0,119982000.0,254293000.0,261168000.0,261040000.0,289020000.0,,,,,,,,,0.71,0.7,0.69,0.59,NASDAQ,18878000.0,24649000.0,26651000.0,22627000.0,148469000.0,152467000.0,143426000.0,143592000.0,1,1489764000.0,540091000.0,540420000.0,550623000.0,1371379.3,96507000.0,95267000.0,94408000.0,84306000.0,"1,371,379.30",,,,,148469000.0,152467000.0,143426000.0,143592000.0,38.65,"35,482.00",254293000.0,261168000.0,261040000.0,289020000.0,29957418000.0,29863262000.0,30023545000.0,32788494000.0,1579072000.0,628555000.0,627191000.0,642544000.0,4856633000.0,4967820000.0,4993223000.0,5314449000.0,25100785000.0,24895442000.0,25030322000.0,27474045000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
2094,RCUS,ARCUS BIOSCIENCES INC,Health Care,0.0,,-1000000.0,-1000000.0,-1000000.0,156000000.0,201000000.0,150000000.0,192000000.0,-94000000.0,26000000.0,-100000000.0,-132000000.0,39000000.0,48000000.0,26000000.0,28000000.0,1022000000.0,1127000000.0,1016000000.0,1031000000.0,199000000.0,215000000.0,226000000.0,192000000.0,-1.02,-1.0,-1.03,-1.14,New York Stock Exchange Inc.,0.0,0.0,1000000.0,0.0,0.0,1000000.0,2000000.0,1000000.0,1,,47000000.0,48000000.0,48000000.0,138558.16,-93000000.0,-92000000.0,-94000000.0,-112000000.0,"138,558.16",-106000000.0,-105000000.0,-103000000.0,-122000000.0,145000000.0,153000000.0,129000000.0,150000000.0,11.56,"11,986.00",39000000.0,48000000.0,26000000.0,28000000.0,1186000000.0,1252000000.0,1150000000.0,1156000000.0,11000000.0,58000000.0,60000000.0,60000000.0,635000000.0,565000000.0,485000000.0,531000000.0,551000000.0,687000000.0,665000000.0,625000000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Micro-Cap
1197,CRNX,CRINETICS PHARMACEUTICALS INC,Health Care,0.0,-955000.0,-528000.0,-1029000.0,-1239000.0,302162000.0,317269000.0,264545000.0,94569000.0,-47644000.0,-60796000.0,-64674000.0,-88452000.0,399000.0,0.0,0.0,361000.0,874776000.0,877587000.0,1375388000.0,1291055000.0,54377000.0,53562000.0,59684000.0,57311000.0,-0.94,-0.96,-0.88,-1.04,NASDAQ,-74055000.0,-76828000.0,-80595000.0,-96774000.0,8741000.0,11006000.0,14368000.0,14834000.0,1,45873000.0,45126000.0,44570000.0,43936000.0,791209.25,-74055000.0,-76828000.0,-80595000.0,-96774000.0,"791,209.25",-82783000.0,-87797000.0,-94745000.0,-111405000.0,83182000.0,87797000.0,94745000.0,111766000.0,34.25,"23,101.00",399000.0,0.0,0.0,361000.0,935535000.0,937374000.0,1434592000.0,1361327000.0,53318000.0,52539000.0,51722000.0,50819000.0,830763000.0,832980000.0,1324805000.0,1254000000.0,104772000.0,104394000.0,109787000.0,107327000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
1112,GNW,GENWORTH FINANCIAL INC,Financials,0.01,133000000.0,269000000.0,205000000.0,77000000.0,1932000000.0,2057000000.0,2048000000.0,1891000000.0,7000000.0,161000000.0,27000000.0,34000000.0,1733000000.0,1844000000.0,1722000000.0,1778000000.0,,,,,,,,,0.17,0.19,0.0,0.13,New York Stock Exchange Inc.,32000000.0,40000000.0,20000000.0,36000000.0,30000000.0,28000000.0,27000000.0,26000000.0,1,1564000000.0,1548000000.0,1518000000.0,1519000000.0,930257.2,76000000.0,85000000.0,-1000000.0,54000000.0,"930,257.20",,,,,1590000000.0,1683000000.0,1667000000.0,1652000000.0,8.66,"107,420.00",1733000000.0,1844000000.0,1722000000.0,1778000000.0,87543000000.0,90760000000.0,86871000000.0,87256000000.0,1564000000.0,1548000000.0,1518000000.0,1519000000.0,9353000000.0,9255000000.0,9431000000.0,9681000000.0,78190000000.0,81505000000.0,77440000000.0,77575000000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
1540,NTCT,NETSCOUT SYSTEMS INC,Information Technology,0.0,-1268000.0,-2172000.0,-1859000.0,-1398000.0,362213000.0,363355000.0,398361000.0,457415000.0,38428000.0,-3729000.0,41450000.0,141521000.0,44369000.0,42057000.0,46612000.0,45697000.0,590050000.0,583713000.0,692157000.0,713184000.0,383204000.0,347102000.0,381771000.0,407932000.0,-6.2,0.13,0.67,0.25,NASDAQ,-10320000.0,3299000.0,8565000.0,-416000.0,1945000.0,1801000.0,2649000.0,765000.0,1,75000000.0,75000000.0,75000000.0,,411872.1,-443376000.0,9027000.0,48810000.0,18617000.0,"411,872.10",-19794000.0,16532000.0,62636000.0,20491000.0,149990000.0,132519000.0,142771000.0,138799000.0,25.05,"16,442.00",174565000.0,191108000.0,252019000.0,204987000.0,2085416000.0,2070672000.0,2174745000.0,2186578000.0,122090000.0,120403000.0,117757000.0,43504000.0,1431996000.0,1459388000.0,1520583000.0,1560395000.0,653420000.0,611284000.0,654162000.0,626183000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
52,C,CITIGROUP INC,Financials,0.29,-1644000000.0,-1561000000.0,-1688000000.0,-1517000000.0,246134000000.0,303094000000.0,276532000000.0,308331000000.0,-16960000000.0,-16674000000.0,24796000000.0,-58708000000.0,20037000000.0,20265000000.0,19586000000.0,21601000000.0,235964000000.0,242328000000.0,249456000000.0,291933000000.0,38694000000.0,41340000000.0,48505000000.0,49139000000.0,1.52,1.51,1.34,1.96,New York Stock Exchange Inc.,1047000000.0,1116000000.0,912000000.0,1340000000.0,22494000000.0,23094000000.0,21314000000.0,19654000000.0,1,280321000000.0,299081000000.0,287300000000.0,295684000000.0,47643466.2,3217000000.0,3238000000.0,2856000000.0,4064000000.0,"47,643,466.20",,,,,22494000000.0,23094000000.0,21314000000.0,19654000000.0,97.08,"490,765.00",20037000000.0,20265000000.0,19586000000.0,21601000000.0,2405686000000.0,2430663000000.0,2352945000000.0,2571514000000.0,319015000000.0,340421000000.0,335805000000.0,344823000000.0,209144000000.0,209902000000.0,209366000000.0,213258000000.0,2196542000000.0,2220761000000.0,2143579000000.0,2358256000000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Large-Cap
1023,PTCT,PTC THERAPEUTICS INC,Health Care,0.01,,-10776000.0,-6497000.0,-2532000.0,654779000.0,526001000.0,779709000.0,1480231000.0,-71453000.0,-76992000.0,-30004000.0,870103000.0,15527000.0,10848000.0,16283000.0,12862000.0,1357910000.0,1281550000.0,1365531000.0,2316406000.0,609803000.0,610712000.0,580981000.0,595391000.0,-1.29,-1.39,-0.85,10.04,NASDAQ,13446000.0,8663000.0,-28813000.0,63266000.0,43490000.0,41609000.0,41060000.0,34092000.0,1,284806000.0,285106000.0,2109367000.0,285712000.0,1141520.78,-99179000.0,-106654000.0,-65886000.0,866562000.0,"1,141,520.78",-33357000.0,-51966000.0,-15871000.0,969502000.0,204534000.0,237904000.0,212760000.0,193732000.0,58.01,"19,678.00",186704000.0,196786000.0,213172000.0,1176096000.0,1916355000.0,1842236000.0,1705024000.0,2655387000.0,395504000.0,400205000.0,2471072000.0,389615000.0,-980181000.0,-1054352000.0,-1098071000.0,-185760000.0,2896536000.0,2896588000.0,2803095000.0,2841147000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
1657,CENX,CENTURY ALUMINUM,Materials,0.0,-16900000.0,-22500000.0,-13200000.0,-21200000.0,41300000.0,32600000.0,32900000.0,44900000.0,11500000.0,20100000.0,-41400000.0,72300000.0,540400000.0,457300000.0,564600000.0,573300000.0,735900000.0,806900000.0,802800000.0,821900000.0,428100000.0,472300000.0,463700000.0,447400000.0,-0.03,0.46,,0.29,NASDAQ,500000.0,2000000.0,200000.0,1600000.0,10300000.0,11900000.0,11700000.0,11800000.0,1,451300000.0,449300000.0,457400000.0,454300000.0,334305.25,-2500000.0,47300000.0,45200000.0,29700000.0,"334,305.25",6400000.0,63800000.0,49300000.0,46100000.0,14000000.0,18000000.0,17000000.0,14500000.0,22.03,"15,175.00",560800000.0,539100000.0,630900000.0,633900000.0,1805200000.0,1896900000.0,1939400000.0,1954500000.0,480400000.0,485800000.0,528200000.0,482600000.0,582900000.0,628500000.0,662700000.0,690700000.0,1222300000.0,1268400000.0,1276700000.0,1263800000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
2124,OFIX,ORTHOFIX MEDICAL INC,Health Care,0.0,-9716000.0,-5812000.0,-8531000.0,-6736000.0,26366000.0,30054000.0,83238000.0,57953000.0,8984000.0,11671000.0,23730000.0,-18391000.0,63871000.0,61553000.0,66816000.0,72027000.0,386065000.0,386214000.0,433285000.0,390310000.0,155967000.0,161898000.0,168628000.0,144116000.0,-0.88,-0.71,-0.75,-1.35,NASDAQ,1084000.0,751000.0,-564000.0,961000.0,4943000.0,5210000.0,14920000.0,4506000.0,1,113315000.0,112215000.0,157015000.0,156885000.0,132623.4,-33443000.0,-27388000.0,-29146000.0,-53094000.0,"132,623.40",-21836000.0,-16929000.0,-10787000.0,-49483000.0,156585000.0,151982000.0,159628000.0,171102000.0,14.7,"9,022.00",198620000.0,196606000.0,215657000.0,193646000.0,881998000.0,867872000.0,893294000.0,823144000.0,136897000.0,137235000.0,179628000.0,192759000.0,546004000.0,525924000.0,503124000.0,458294000.0,335994000.0,341948000.0,390170000.0,364850000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Micro-Cap
100,CB,CHUBB LTD,Financials,0.17,1565000000.0,2196000000.0,747000000.0,1002000000.0,2400000000.0,2525000000.0,2288000000.0,1972000000.0,4079000000.0,4318000000.0,4565000000.0,1566000000.0,13932000000.0,15102000000.0,14180000000.0,13480000000.0,,,,,1553000000.0,1571000000.0,800000000.0,0.0,5.46,5.7,6.02,3.29,New York Stock Exchange Inc.,490000000.0,504000000.0,479000000.0,321000000.0,182000000.0,192000000.0,189000000.0,181000000.0,1,13178000000.0,14560000000.0,14489000000.0,14508000000.0,27594488.72,2230000000.0,2324000000.0,2575000000.0,1331000000.0,"27,594,488.72",,,,,17000000.0,7000000.0,8000000.0,12000000.0,279.88,"98,594.00",13932000000.0,15102000000.0,14180000000.0,13480000000.0,238551000000.0,250557000000.0,246548000000.0,251752000000.0,14731000000.0,16131000000.0,15289000000.0,14508000000.0,64575000000.0,70120000000.0,68394000000.0,70755000000.0,173976000000.0,180437000000.0,178154000000.0,180997000000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Large-Cap
1771,CWH,CAMPING WORLD HOLDINGS INC CLASS A,Consumer Discretionary,0.0,-22649000.0,-19641000.0,-31003000.0,-72095000.0,23743000.0,28380000.0,208422000.0,20916000.0,152323000.0,324200000.0,-163382000.0,-232479000.0,1258846000.0,1226464000.0,827548000.0,983896000.0,2408796000.0,2107726000.0,2271288000.0,2502952000.0,2029739000.0,1710561000.0,1680952000.0,1993641000.0,0.22,0.09,-0.56,-0.21,New York Stock Exchange Inc.,7935000.0,-2049000.0,-8221000.0,-3471000.0,63952000.0,58249000.0,49388000.0,48837000.0,1,1545871000.0,1537912000.0,1493318000.0,1488388000.0,261124.92,9771000.0,5501000.0,-31602000.0,-12280000.0,"261,124.92",107951000.0,63732000.0,-12128000.0,19639000.0,439708000.0,434792000.0,389044000.0,409989000.0,17.64,"14,803.00",1806505000.0,1724988000.0,1204464000.0,1413524000.0,4962108000.0,4645224000.0,4863277000.0,5147210000.0,3859586000.0,3572112000.0,3642460000.0,3805635000.0,166637000.0,172691000.0,484949000.0,458811000.0,4795471000.0,4472533000.0,4378328000.0,4688399000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
2446,VYGR,VOYAGER THERAPEUTICS INC,Health Care,0.0,-967000.0,-258000.0,-155000.0,-658000.0,76127000.0,112525000.0,71367000.0,74755000.0,-31580000.0,-27968000.0,-14529000.0,-37895000.0,29578000.0,24629000.0,6278000.0,6473000.0,381570000.0,373443000.0,276809000.0,245206000.0,40130000.0,44210000.0,49788000.0,40212000.0,-0.18,-0.16,-0.59,-0.53,NASDAQ,24000.0,43000.0,584000.0,37000.0,4888000.0,4579000.0,,3291000.0,1,40205000.0,38368000.0,36499000.0,34566000.0,34504.84,-10141000.0,-9044000.0,-34487000.0,-31021000.0,"34,504.84",-15025000.0,-13780000.0,-38299000.0,-34693000.0,44603000.0,38409000.0,44577000.0,41166000.0,3.88,"8,893.00",29578000.0,24629000.0,6278000.0,6473000.0,436225000.0,426041000.0,393050000.0,353240000.0,46941000.0,45347000.0,43726000.0,41996000.0,335417000.0,330310000.0,299760000.0,272702000.0,100808000.0,95731000.0,93290000.0,80538000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Nano-Cap
846,LFUS,LITTELFUSE INC,Information Technology,0.01,-19127000.0,-15391000.0,-25812000.0,-23102000.0,561742000.0,629670000.0,724924000.0,618687000.0,69424000.0,80425000.0,160622000.0,65758000.0,351485000.0,351498000.0,352667000.0,347051000.0,1463978000.0,1562523000.0,1552009000.0,1433084000.0,418189000.0,439866000.0,433905000.0,369567000.0,1.82,2.32,-1.57,1.75,NASDAQ,15678000.0,19658000.0,9085000.0,16376000.0,9975000.0,9772000.0,9359000.0,8875000.0,1,795825000.0,799949000.0,788502000.0,787980000.0,1622115.42,45466000.0,58058000.0,-51786000.0,43571000.0,"1,622,115.42",70758000.0,89661000.0,48613000.0,79169000.0,136246000.0,126231000.0,128225000.0,128087000.0,259.58,"6,249.00",558489000.0,567390000.0,529505000.0,554307000.0,3924978000.0,4062244000.0,3891779000.0,3888235000.0,923708000.0,929984000.0,930573000.0,888525000.0,2465487000.0,2573100000.0,2413612000.0,2456755000.0,1459491000.0,1489144000.0,1478167000.0,1431480000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
1766,MEG,MONTROSE ENVIRONMENTAL GRP INC,Industrials,0.0,-12385000.0,-1474000.0,-2696000.0,-3154000.0,16905000.0,13045000.0,12935000.0,30276000.0,894000.0,11406000.0,31956000.0,5504000.0,104086000.0,105596000.0,111954000.0,108406000.0,240020000.0,246936000.0,237999000.0,249394000.0,131719000.0,128239000.0,158662000.0,121778000.0,-0.39,-0.39,-0.9,-0.64,New York Stock Exchange Inc.,2619000.0,1368000.0,3516000.0,2871000.0,3976000.0,4137000.0,4442000.0,5065000.0,1,188749000.0,233007000.0,204818000.0,235617000.0,261358.48,-10170000.0,-10564000.0,-28223000.0,-19359000.0,"261,358.48",-2515000.0,-1018000.0,-22695000.0,-10098000.0,71754000.0,74109000.0,99799000.0,79526000.0,29.32,"8,914.00",173325000.0,178687000.0,189058000.0,177834000.0,943916000.0,1006893000.0,990353000.0,992161000.0,265781000.0,306609000.0,280996000.0,300644000.0,448773000.0,449191000.0,446264000.0,444144000.0,495143000.0,557702000.0,544089000.0,548017000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
1336,HHH,HOWARD HUGHES HOLDINGS INC,Real Estate,0.0,-176000.0,-289000.0,-1216000.0,-283000.0,436758000.0,400728000.0,596083000.0,493657000.0,-17533000.0,248270000.0,337094000.0,-224924000.0,122443000.0,149740000.0,666579000.0,91544000.0,1846661000.0,1651916000.0,1775169000.0,1661336000.0,592241000.0,631429000.0,587642000.0,514954000.0,0.42,1.46,3.25,0.21,New York Stock Exchange Inc.,13542000.0,10195000.0,62948000.0,3436000.0,39611000.0,43802000.0,42329000.0,41094000.0,1,5511985000.0,5298760000.0,5127469000.0,5249065000.0,598988.04,21092000.0,72770000.0,156318000.0,10533000.0,"598,988.04",88464000.0,195174000.0,245562000.0,34201000.0,72561000.0,-17767000.0,71449000.0,73583000.0,77.72,"7,707.00",283468000.0,327147000.0,983590000.0,199328000.0,9903491000.0,9438588000.0,9211236000.0,9289379000.0,5564895000.0,5304524000.0,5132925000.0,5254485000.0,3036719000.0,2680313000.0,2841774000.0,2855060000.0,6866772000.0,6758275000.0,6369462000.0,6434319000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap
2043,BCAL,CALIFORNIA BANCORP,Financials,0.0,-138000.0,-183000.0,-142000.0,-105000.0,29153000.0,115165000.0,60471000.0,80441000.0,309000.0,18300000.0,23630000.0,6983000.0,22195000.0,38116000.0,45545000.0,44822000.0,,,,,,,,,0.01,-0.59,0.51,0.52,NASDAQ,88000.0,-6063000.0,6483000.0,6824000.0,10842000.0,17185000.0,18017000.0,14570000.0,1,42913000.0,69142000.0,69725000.0,70308000.0,151878.83,190000.0,-16464000.0,16772000.0,16853000.0,"151,878.83",,,,,10842000.0,17185000.0,18017000.0,14570000.0,17.09,"8,887.00",22195000.0,38116000.0,45545000.0,44822000.0,2293693000.0,4362767000.0,4031654000.0,3983090000.0,53844000.0,88353000.0,88035000.0,87450000.0,293219000.0,498064000.0,511836000.0,531384000.0,2000474000.0,3864703000.0,3519818000.0,3451706000.0,28624.069,29016.714,29374.914,29723.864,29962.047,23053.545,23223.906,23400.294,23542.349,23512.717,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Micro-Cap
